X;Y;street;category
11.2711980;50.9548996;Bahnhof;diebstahl
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3210123;50.9786948;Steubenstraße;vandalismus
11.3024120;50.9876746;Soproner Straße;brandstiftung
11.3200495;50.9802959;Erfurter Straße;unfall
11.3276438;50.9787017;Schillerstraße;unkategorisiert
11.3109907;50.9891265;Moskauer Straße;einbruch
11.3600747;50.9944760;Langer Weg;diebstahl
11.3109907;50.9891265;Moskauer Straße;körperverletzung
11.3058685;50.9856682;Moskauer Straße;körperverletzung
11.3069221;50.9883866;Straßburger Platz;unfall
11.3100061;50.9892677;Prager Straße;unfall
11.3168770;50.9743476;Gutenbergstraße;diebstahl
11.3170011;50.9775488;Trierer Straße;drogenmissbrauch
11.3222558;50.9881586;Röhrstraße;unfall
11.3276438;50.9787017;Schillerstraße;vandalismus
11.3143136;50.9840682;Schwanseestraße;unfall
11.3294068;50.9798045;Kaufstraße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3264535;50.9789080;Hummelstraße;vandalismus
11.3069221;50.9883866;Straßburger Platz;unfall
11.3131204;50.9829752;Pfeifferstraße;unfall
11.3227174;50.9860571;Bertuchstraße;unfall
11.3293527;50.9821876;Graben;unfall
11.3261025;50.9872822;Carl-August-Allee;unfall
11.2711980;50.9548996;Carl-August-Allee;unfall
11.3250908;50.9819163;Goetheplatz;diebstahl
11.3272818;50.9757614;Amalienstraße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3024120;50.9876746;Soproner Straße;diebstahl
11.3088160;50.9867371;Soproner Straße;diebstahl
11.3200348;50.9937295;Ettersburger Straße;diebstahl
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3655032;50.9931983;Hauptstraße;unfall
11.3170011;50.9775488;Trierer Straße;diebstahl
11.3047434;50.9867472;Berliner Straße;diebstahl
11.3100061;50.9892677;Prager Straße;vandalismus
11.3210123;50.9786948;Steubenstraße;unfall
11.3267527;50.9766071;Steubenstraße;unfall
11.3170011;50.9775488;Steubenstraße;unfall
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3442420;50.9717588;Bodelschwinghstraße;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3250908;50.9819163;Goetheplatz;drogenmissbrauch
11.3293527;50.9821876;Goetheplatz;drogenmissbrauch
11.3109907;50.9891265;Moskauer Straße;unfall
11.3143136;50.9840682;Schwanseestraße;unfall
11.3109907;50.9891265;Schwanseestraße;unfall
11.3267527;50.9766071;Humboldtstraße;unfall
